	w	g	div
562	a3**2*a0*a2*a5*a3**-1	a3**2*a0*a2**-1	True
563	a3*a4*a0*a1*a5*a3**-1	a3*a4*a0*a2**-1	True
564	a2*a0**-1*a5**-1*a3	a2*a0**-1*a5**-1*a2	False
565	a3**-1*a0*a5*a2**-1	a2*a0**-1*a5**-1*a2	False
566	a3*a0*a5*a3**-1	a3*a0*a5*a2**-1	False
567	a3*a0**2*a5**2*a3**-1	a3*a0*a5*a2**-1	True
568	a1**-1*a2*a3*a1	a1**-1*a2*a3*a4	False
569	a1**-1*a2**2*a3**2*a1	a1**-1*a2*a3*a4	True
570	a1**-1*a2*a3*a4*a1**2	a1**-1*a2*a4**2	True
571	a1**-1*a2*a5*a3*a0*a1	a1**-1*a2*a4*a5	True
572	a1**-1*a2*a3*a1	a1**-1*a2*a3**-1*a4	False
573	a1**-1*a2*a0*a5*a1*a2**-1	a1**-1*a2*a3**-1*a4	False
574	a1**-1*a2*a0*a5*a3*a1	a1**-1*a2*a3**-1*a4	False
575	a1**-1*a2**2*a3**2*a1	a1**-1*a2*a3**-1*a4	False
576	a1**-1*a2*a0**-1*a5**-1*a3*a1	a1**-1*a2*a3**-1*a4	False
577	a1**-1*a3**-1*a0*a5*a1*a2**-1	a1**-1*a2*a3**-1*a4	False
578	a1**-1*a3**-1*a0*a5*a3*a1	a1**-1*a2*a3**-1*a4	False
579	a0*a1**-1*a3**-1*a5*a1*a2**-1	a1**-1*a2*a4*a5**-1	False
580	a1**-1*a2*a5**-1*a3*a0**-1*a1	a1**-1*a2*a4*a5**-1	True
581	a2*a0**-1*a5**-1*a4*a1*a2**-1	a1**-1*a2*a5*a3**-1	False
582	a1**-1*a2*a4**-1*a0*a5*a2**-1	a1**-1*a2*a5*a3**-1	True
583	a1**-2*a2*a3*a4**-1*a1	a1**-2*a2*a4	True
584	a1**-1*a3**-1*a4*a1**2*a2**-1	a1**-2*a2*a4	False
585	a3*a1**2*a3**-1*a4**2	a2**-1*a3*a1**2	True
586	a2*a3**2*a1*a3**-1*a4	a2**-1*a3**2*a1	True
587	a3*a4*a1**2*a3**-1*a4	a3*a4*a1*a2**-1	True
588	a3*a0*a5*a1*a3**-1*a4	a3*a5*a1*a2**-1	True
589	a2*a3**-1*a0*a3*a5*a3	a2*a3**-1*a0*a2	True
590	a2*a3**-1*a0*a2**-1*a5*a2**-1	a2*a3**-1*a0*a3**-1	True
591	a2*a5**-1*a2*a0**-1*a2**-1*a3	a2*a3**-1*a0*a3**-1	False
592	a3**-1*a1**2*a3*a4**2	a2*a3**-1*a1**2	True
593	a3**-1*a1*a3**2*a4*a2	a2*a3**-1*a1*a3	True
594	a2*a4**-1*a1**-1*a3	a2*a3**-1*a1*a3**-1	False
595	a3**-1*a1*a4*a2**-1	a2*a3**-1*a1*a3**-1	True
596	a2*a3**-1*a5*a3*a0*a3	a2*a3**-1*a5*a2	True
597	a2*a0**-1*a2*a5**-1*a2**-1*a3	a2*a3**-1*a5*a3**-1	False
598	a2*a3**-1*a5*a2**-1*a0*a2**-1	a2*a3**-1*a5*a3**-1	True
599	a2*a3**-1*a0**-1*a3*a5**-1*a3	a2*a3**-1*a0**-1*a2	True
600	a3**-1*a5*a3**-1*a0*a2**-1*a3	a2*a3**-1*a0**-1*a2	False
601	a3*a0*a3*a5*a2*a3**-1	a3*a0*a2**-1*a3	True
602	a2**-1*a3**-2*a4*a1*a3	a2*a3**-1*a1**-1*a3	False
603	a3**-1*a1**-1*a3**2*a4**-1*a2	a2*a3**-1*a1**-1*a3	True
604	a3*a1*a4*a2	a2**-1*a3*a1*a3	True
605	a2**-1*a3**-2*a1*a3*a4	a2*a3**-2*a1	True
606	a3**-1*a4**-1*a1**-1*a2*a3**2	a2*a3**-2*a1	False
607	a2*a3	a2**-1*a3**3	False
608	a2**2*a3**2	a2**-1*a3**3	True
609	a2**3*a3**3	a2**-1*a3**3	False
610	a3**2*a4*a1*a2*a3**-1	a3**2*a4*a2**-1	True
611	a2*a4**-1*a1**-1*a3	a2*a3**-1*a4**-1*a2	True
612	a3**-1*a1*a4*a2**-1	a2*a3**-1*a4**-1*a2	False
613	a3*a4**2*a1**2*a3**-1	a3*a4**2*a2**-1	True
614	a2*a3**-1*a5**-1*a3*a0**-1*a3	a2*a3**-1*a5**-1*a2	True
615	a3**-1*a0*a3**-1*a5*a2**-1*a3	a2*a3**-1*a5**-1*a2	False
616	a3*a5*a3*a0*a2*a3**-1	a3*a5*a2**-1*a3	True
617	a2*a0**-1*a5**-1*a1*a4*a2**-1	a2*a4**-1*a0*a3**-1	False
618	a2*a4**-1*a0*a1**-1*a5*a2**-1	a2*a4**-1*a0*a3**-1	True
619	a2*a3*a4**-1*a2*a4*a2**-1	a2*a4**-1*a1*a3**-1	False
620	a2*a4**-1*a0*a5*a4*a2**-1	a2*a4**-1*a1*a3**-1	False
621	a3*a0*a5*a4*a1*a3**-1	a3*a0*a4*a2**-1	True
622	a3*a1*a4**2*a1*a3**-1	a3*a1*a4*a2**-1	True
623	a3*a4*a0*a5*a1*a3**-1	a3*a4*a5*a2**-1	True
624	a2*a0**-1*a5**-1*a1*a4*a2**-1	a2*a5**-1*a1*a3**-1	True
625	a2*a4**-1*a0*a1**-1*a5*a2**-1	a2*a5**-1*a1*a3**-1	False
626	a2*a3**-1*a0*a2**-1*a5*a2**-1	a2*a5**-1*a2*a3**-1	False
627	a2*a5**-1*a2*a0**-1*a2**-1*a3	a2*a5**-1*a2*a3**-1	True
628	a3*a1*a4*a0*a5*a3**-1	a3*a1*a5*a2**-1	True
629	a3**2*a5*a2*a0*a3**-1	a3**2*a5*a2**-1	True
630	a3*a0*a5*a3**-1	a3*a5**2*a2**-1	False
631	a3*a0**2*a5**2*a3**-1	a3*a5**2*a2**-1	True
632	a3*a0*a5*a2	a3*a0*a5*a3	False
633	a3*a0*a1**-1*a4**-1*a5*a3**-1	a3*a0*a1**-1*a2**-1	True
634	a3*a4*a0**-1*a5**-1*a1*a3**-1	a3*a0*a1**-1*a2**-1	False
635	a3*a0*a1**-1*a5*a3**-1*a4**-1	a3*a0*a1**-1*a2**-1	True
636	a3*a0*a2**-1*a5*a3**-2	a3*a0*a2**-2	True
637	a3**2*a5**-1*a2*a0**-1*a3**-1	a3*a0*a2**-2	False
638	a2*a3*a5**-1*a3*a0**-1*a3**-1	a3*a0*a2**-1*a3**-1	False
639	a3*a0*a3**-1*a5*a2**-1*a3**-1	a3*a0*a2**-1*a3**-1	True
640	a3*a0*a5*a4**-1*a1**-1*a3**-1	a3*a0*a4**-1*a2**-1	True
641	a3*a1*a4*a0**-1*a5**-1*a3**-1	a3*a0*a4**-1*a2**-1	False
642	a3*a0*a5*a3**-1	a3*a0*a5**-1*a2**-1	False
643	a3*a0**2*a5**2*a3**-1	a3*a0*a5**-1*a2**-1	False
644	a3*a0*a2*a3*a5*a3**-1	a3*a0*a5**-1*a2**-1	False
645	a3*a0*a2*a3*a0**-1*a3**-1	a3*a0*a5**-1*a2**-1	False
646	a3*a0*a2**-1*a3**-1*a5*a3**-1	a3*a0*a5**-1*a2**-1	False
647	a3*a5**-1*a2*a3*a5*a3**-1	a3*a0*a5**-1*a2**-1	False
648	a3*a5**-1*a2*a3*a0**-1*a3**-1	a3*a0*a5**-1*a2**-1	False
649	a3*a0**-1*a1*a5**-1*a3**-1*a4	a3*a0**-1*a1*a2**-1	True
650	a3*a4**-1*a0*a5*a1**-1*a3**-1	a3*a0**-1*a1*a2**-1	False
651	a3*a0**-1*a1*a4*a5**-1*a3**-1	a3*a0**-1*a1*a2**-1	True
652	a2**-1*a3*a1*a3**-2*a4	a2**-2*a3*a1	True
653	a3**2*a4**-1*a1**-1*a2*a3**-1	a2**-2*a3*a1	False
654	a2*a3**2*a4**-1*a1**-1*a3**-1	a2**-1*a3*a1*a3**-1	False
655	a3*a1*a3**-2*a4*a2**-1	a2**-1*a3*a1*a3**-1	True
656	a2*a3*a1*a3*a1**-1*a3**-1	a3*a1*a4**-1*a2**-1	False
657	a3*a0*a1*a5*a1**-1*a3**-1	a3*a1*a4**-1*a2**-1	False
658	a3*a0*a5*a4**-1*a1**-1*a3**-1	a3*a1*a5**-1*a2**-1	False
659	a3*a1*a4*a0**-1*a5**-1*a3**-1	a3*a1*a5**-1*a2**-1	True
660	a2*a3	a3**4	False
661	a2**2*a3**2	a3**4	False
662	a2**3*a3**3	a3**4	False
663	a3**2*a0**-1*a2*a5**-1*a3**-1	a3**2*a0**-1*a2**-1	True
664	a3*a5*a2**-1*a0*a3**-2	a3**2*a0**-1*a2**-1	False
665	a2*a3**2*a1**-1*a3**-1*a4**-1	a2**-1*a3**2*a1**-1	True
666	a3*a4*a1*a2**-1*a3**-2	a2**-1*a3**2*a1**-1	False
667	a2**-1*a3*a4*a1*a2**2	a2**-1*a3**2*a4	True
668	a2*a3	a2**-2*a3**2	False
669	a2**2*a3**2	a2**-2*a3**2	False
670	a2**3*a3**3	a2**-2*a3**2	False
671	a3**2*a0*a5*a2**2	a2**-2*a3**2	False
672	a3**2*a0*a5*a2*a3**-1	a2**-2*a3**2	False
673	a3**2*a0*a5*a3**-2	a2**-2*a3**2	False
674	a3**2*a0**-1*a5**-1*a2**2	a2**-2*a3**2	False
675	a3**2*a0**-1*a5**-1*a2*a3**-1	a2**-2*a3**2	False
676	a2**-1*a3*a0*a5*a2**2	a2**-2*a3**2	False
677	a2**-1*a3*a0*a5*a2*a3**-1	a2**-2*a3**2	False
678	a2**-1*a3*a0*a5*a3**-2	a2**-2*a3**2	False
679	a2**-1*a3*a0**-1*a5**-1*a2**2	a2**-2*a3**2	False
680	a2**-2*a0*a5*a2**2	a2**-2*a3**2	False
681	a2**-2*a0*a5*a2*a3**-1	a2**-2*a3**2	False
682	a1*a2**-2*a3**-1*a4*a2	a2**-1*a3**2*a4**-1	False
683	a2**-1*a3*a4**-1*a1**-1*a2**2	a2**-1*a3**2*a4**-1	True
684	a3*a4**-1*a2*a4	a3**2*a4**-1*a1	False
685	a3**2*a4**-1*a2**2*a4	a3**2*a4**-1*a1	True
686	a2**-1*a3*a1*a3**-2*a4	a3**2*a4**-1*a2**-1	False
687	a3**2*a4**-1*a1**-1*a2*a3**-1	a3**2*a4**-1*a2**-1	True
688	a3*a0*a2**-1*a5*a3**-2	a3**2*a5**-1*a2**-1	False
689	a3**2*a5**-1*a2*a0**-1*a3**-1	a3**2*a5**-1*a2**-1	True
690	a3*a4*a0**-1*a2*a4**-1*a5**-1	a3*a4*a0**-1*a1**-1	True
691	a4*a5*a2**-1*a0*a3**-1*a4**-1	a3*a4*a0**-1*a1**-1	False
692	a3*a0*a5*a1**-1*a3**-1*a4**-1	a3*a4*a0**-1*a2**-1	False
693	a3*a4*a0**-1*a1*a5**-1*a3**-1	a3*a4*a0**-1*a2**-1	True
694	a3*a4*a1**-1*a2*a4**-2	a3*a4*a1**-2	True
695	a4**2*a1*a2**-1*a3**-1*a4**-1	a3*a4*a1**-2	False
696	a3*a4*a2*a4**-1	a3*a4*a1**-1*a2**-1	False
697	a3**2*a4*a2**2*a4**-1	a3*a4*a1**-1*a2**-1	False
698	a3*a4*a0*a5*a2*a4**-1	a3*a4*a1**-1*a2**-1	False
699	a3*a4*a0*a5*a3**-1*a4**-1	a3*a4*a1**-1*a2**-1	False
700	a3*a4*a0**-1*a5**-1*a2*a4**-1	a3*a4*a1**-1*a2**-1	False
701	a4*a2**-1*a0*a5*a2*a4**-1	a3*a4*a1**-1*a2**-1	False
702	a4*a2**-1*a0*a5*a3**-1*a4**-1	a3*a4*a1**-1*a2**-1	False
703	a2*a3**2*a1**-1*a3**-1*a4**-1	a3*a4*a2**-2	False
704	a3*a4*a1*a2**-1*a3**-2	a3*a4*a2**-2	True
705	a3*a4*a5**-1*a2*a0**-1*a4**-1	a3*a4*a5**-1*a1**-1	True
706	a4*a0*a2**-1*a4**-1*a5*a3**-1	a3*a4*a5**-1*a1**-1	False
707	a3*a0*a1**-1*a4**-1*a5*a3**-1	a3*a4*a5**-1*a2**-1	False
708	a3*a4*a0**-1*a5**-1*a1*a3**-1	a3*a4*a5**-1*a2**-1	True
709	a3*a0*a1**-1*a5*a3**-1*a4**-1	a3*a4*a5**-1*a2**-1	False
710	a3*a0*a5*a3**-1	a3*a0**-1*a5*a2**-1	False
711	a3*a0**2*a5**2*a3**-1	a3*a0**-1*a5*a2**-1	False
712	a3*a5*a2*a3*a0*a3**-1	a3*a0**-1*a5*a2**-1	False
713	a3*a5*a2*a3*a5**-1*a3**-1	a3*a0**-1*a5*a2**-1	False
714	a3*a5*a2**-1*a3**-1*a0*a3**-1	a3*a0**-1*a5*a2**-1	False
715	a3*a0**-1*a2*a3*a0*a3**-1	a3*a0**-1*a5*a2**-1	False
716	a3*a0**-1*a2*a3*a5**-1*a3**-1	a3*a0**-1*a5*a2**-1	False
717	a3*a0*a5*a1**-1*a3**-1*a4**-1	a3*a5*a1**-1*a2**-1	True
718	a3*a4*a0**-1*a1*a5**-1*a3**-1	a3*a5*a1**-1*a2**-1	False
719	a3**2*a0**-1*a2*a5**-1*a3**-1	a3*a5*a2**-2	False
720	a3*a5*a2**-1*a0*a3**-2	a3*a5*a2**-2	True
721	a2*a3*a0**-1*a3*a5**-1*a3**-1	a3*a5*a2**-1*a3**-1	False
722	a3*a5*a3**-1*a0*a2**-1*a3**-1	a3*a5*a2**-1*a3**-1	True
723	a3*a4**-1*a5*a2*a0*a4	a3*a4**-1*a5*a1	True
724	a3*a0**-1*a1*a5**-1*a3**-1*a4	a3*a4**-1*a5*a2**-1	False
725	a3*a4**-1*a0*a5*a1**-1*a3**-1	a3*a4**-1*a5*a2**-1	True
726	a3*a0**-1*a1*a4*a5**-1*a3**-1	a3*a4**-1*a5*a2**-1	False
727	a3*a0**-1*a3*a5**-1*a2*a3**-1	a3*a0**-1*a2**-1*a3	True
728	a2**-1*a3*a5*a3**-1*a0*a3**-1	a3*a0**-1*a2**-1*a3	False
729	a3*a0**-1*a5**-1*a4*a1*a3**-1	a3*a0**-1*a4*a2**-1	True
730	a3*a1**-1*a4**-1*a0*a5*a3**-1	a3*a0**-1*a4*a2**-1	False
731	a3*a0**-1*a5**-1*a2	a3*a0**-1*a5**-1*a3	False
732	a2**-1*a0*a5*a3**-1	a3*a0**-1*a5**-1*a3	False
733	a3*a1**-1*a4**-1*a2	a2**-1*a3*a1**-1*a3	True
734	a2**-1*a4*a1*a3**-1	a2**-1*a3*a1**-1*a3	False
735	a2*a3*a1**-1*a3*a1*a3**-1	a3*a1**-1*a4*a2**-1	False
736	a3*a0*a1**-1*a5*a1*a3**-1	a3*a1**-1*a4*a2**-1	False
737	a3*a0**-1*a5**-1*a4*a1*a3**-1	a3*a1**-1*a5*a2**-1	False
738	a3*a1**-1*a4**-1*a0*a5*a3**-1	a3*a1**-1*a5*a2**-1	True
739	a2**-1*a3*a0*a2*a5*a2	a2**-1*a3*a0*a3	True
740	a2**-1*a3*a0*a3**-1*a5*a3**-1	a2**-1*a3*a0*a2**-1	True
741	a3*a5**-1*a3*a0**-1*a2*a3**-1	a2**-1*a3*a0*a2**-1	False
742	a2**-1*a4*a1*a2**2*a3	a2**-1*a3*a4*a2	True
743	a2**-1*a4**2*a1**2*a2	a2**-1*a3*a4**2	True
744	a3*a1**-1*a4**-1*a2	a2**-1*a3*a4*a2**-1	False
745	a2**-1*a4*a1*a3**-1	a2**-1*a3*a4*a2**-1	True
746	a2**-1*a3*a5*a2*a0*a2	a2**-1*a3*a5*a3	True
747	a3*a0**-1*a3*a5**-1*a2*a3**-1	a2**-1*a3*a5*a2**-1	False
748	a2**-1*a3*a5*a3**-1*a0*a3**-1	a2**-1*a3*a5*a2**-1	True
749	a2**-1*a3*a0**-1*a2*a5**-1*a2	a2**-1*a3*a0**-1*a3	True
750	a2**-1*a5*a2**-1*a0*a2*a3**-1	a2**-1*a3*a0**-1*a3	False
751	a1**-1*a2**-1*a3*a4**-1*a2**2	a2**-2*a3*a4	False
752	a2**-2*a3**-1*a4*a1*a2	a2**-2*a3*a4	True
753	a3**-1*a4*a1*a2*a3**2	a3**-1*a4*a2**2	True
754	a2**-2*a3**-1*a1*a4*a2	a2**-1*a3*a4**-1*a2	False
755	a2**-1*a4**-1*a1**-1*a2**2*a3	a2**-1*a3*a4**-1*a2	True
756	a3**-1*a4**2*a1**2*a3	a3**-1*a4**2*a2	True
757	a2**-1*a3*a5**-1*a2*a0**-1*a2	a2**-1*a3*a5**-1*a3	True
758	a2**-1*a0*a2**-1*a5*a2*a3**-1	a2**-1*a3*a5**-1*a3	False
759	a3*a4**-1*a0*a2*a4*a5	a3*a4**-1*a0*a1	True
760	a3*a0**-1*a5**-1*a1*a3**-1*a4	a3*a4**-1*a0*a2**-1	False
761	a3*a4**-1*a0*a1**-1*a5*a3**-1	a3*a4**-1*a0*a2**-1	True
762	a3*a4**-1*a1*a2*a4**2	a3*a4**-1*a1**2	True
763	a3*a4**-1*a2*a4	a3*a4**-1*a1*a2	False
764	a3**2*a4**-1*a2**2*a4	a3*a4**-1*a1*a2	True
765	a3*a4**-1*a0**-1*a2*a4*a5**-1	a3*a4**-1*a0**-1*a1	True
766	a4**-1*a5*a2**-1*a0*a3**-1*a4	a3*a4**-1*a0**-1*a1	False
767	a3*a4**-1*a2*a4	a3*a4**-1*a1*a2**-1	False
768	a3**2*a4**-1*a2**2*a4	a3*a4**-1*a1*a2**-1	False
769	a3*a4**-1*a0*a5*a2*a4	a3*a4**-1*a1*a2**-1	False
770	a3*a4**-1*a0*a5*a3**-1*a4	a3*a4**-1*a1*a2**-1	False
771	a3*a4**-1*a0**-1*a5**-1*a2*a4	a3*a4**-1*a1*a2**-1	False
772	a4**-1*a2**-1*a0*a5*a3**-1*a4	a3*a4**-1*a1*a2**-1	False
773	a4**-1*a2**-1*a0*a5*a2*a4	a3*a4**-1*a1*a2**-1	False
774	a3*a4**-2*a1**-1*a2*a4	a3*a4**-2*a1	True
775	a4**-1*a1*a2**-1*a3**-1*a4**2	a3*a4**-2*a1	False
776	a3*a4**-1*a5**-1*a2*a0**-1*a4	a3*a4**-1*a5**-1*a1	True
