	w	g	rdiv	ldiv
87	a3*a0**-1*a1*a4*a0*a3**-1	a3*a0**-1*a1*a5*a2**-1	True	False
88	a3*a0*a5*a3**-1	a3*a0**-1*a5**2*a2**-1	True	False
89	a3*a0**2*a5**2*a3**-1	a3*a0**-1*a5**2*a2**-1	False	False
90	a2**2*a0*a5*a2**-2	a2**2*a0*a3**-2	True	False
91	a2*a3	a2**5	False	False
92	a2**2*a3**2	a2**5	False	False
93	a2**3*a3**3	a2**5	False	False
94	a2*a3	a2**4*a3	False	False
95	a2**2*a3**2	a2**4*a3	False	False
96	a2**3*a3**3	a2**4*a3	False	False
97	a2*a3	a2**4*a3**-1	False	False
98	a2**2*a3**2	a2**4*a3**-1	False	False
99	a2**3*a3**3	a2**4*a3**-1	True	False
100	a2*a3	a2**3*a3**2	False	False
101	a2**2*a3**2	a2**3*a3**2	False	False
102	a2**3*a3**3	a2**3*a3**2	False	False
103	a1**-1*a2*a3*a1	a1**-1*a2**3*a4	False	False
104	a1**-1*a2**2*a3**2*a1	a1**-1*a2**3*a4	False	False
105	a2*a3	a2**3*a3**-2	True	False
106	a2**2*a3**2	a2**3*a3**-2	False	False
107	a2**3*a3**3	a2**3*a3**-2	False	False
108	a2*a3	a2**2*a3**3	False	False
109	a2**2*a3**2	a2**2*a3**3	False	False
110	a2**3*a3**3	a2**2*a3**3	False	False
111	a2**2*a3*a4*a1*a3	a2**2*a3**-1*a4*a2	True	False
112	a2**2*a4*a1*a2**-2	a2**2*a3**-2*a4	True	False
113	a2**2*a0*a5*a2**-2	a2**2*a5*a3**-2	True	False
114	a3**2*a0*a5*a3**-2	a3**2*a0*a2**-2	True	False
115	a1**-1*a2*a3*a1	a1**-1*a2**2*a3*a4	False	False
116	a1**-1*a2**2*a3**2*a1	a1**-1*a2**2*a3*a4	False	False
117	a1**-1*a2*a3*a1	a1**-1*a2**2*a3**-1*a4	True	False
118	a1**-1*a2**2*a3**2*a1	a1**-1*a2**2*a3**-1*a4	False	False
119	a3**2*a1*a3**-2*a4	a2**-2*a3**2*a1	True	False
120	a2*a3**-1*a1*a3*a4*a2**-1	a2**2*a3**-1*a1*a3**-1	True	False
121	a2**-1*a3*a1*a3**-1*a4*a2	a2**-2*a3*a1*a3	True	False
122	a3**-2*a1*a3**2*a4	a2**2*a3**-2*a1	True	False
123	a2*a3	a2**-2*a3**3	True	False
124	a2**2*a3**2	a2**-2*a3**3	False	False
125	a2**3*a3**3	a2**-2*a3**3	False	False
126	a3**2*a4*a1*a3**-2	a3**2*a4*a2**-2	True	False
127	a2**2*a3*a4**-1*a1**-1*a3	a2**2*a3**-1*a4**-1*a2	True	False
128	a3**2*a0*a5*a3**-2	a3**2*a5*a2**-2	True	False
129	a2*a3*a0*a5*a2**-1*a3**-1	a2*a3*a0*a2**-1*a3**-1	True	False
130	a2*a3*a1*a3*a1**-1*a3**-1	a2*a3*a1*a4**-1*a2**-1	True	False
131	a2*a3	a2*a3**4	False	False
132	a2**2*a3**2	a2*a3**4	False	False
133	a2**3*a3**3	a2*a3**4	False	False
134	a2*a3*a4*a2*a4**-1*a2**-1	a2*a3*a4*a1**-1*a3**-1	True	False
135	a2*a3*a0*a5*a2**-1*a3**-1	a2*a3*a5*a2**-1*a3**-1	True	False
136	a2*a3*a1**-1*a3*a1*a3**-1	a2*a3*a1**-1*a4*a2**-1	True	False
137	a2*a3*a4**-1*a2*a4*a2**-1	a2*a3*a4**-1*a1*a3**-1	True	False
138	a2*a4*a0*a5*a4**-1*a2**-1	a2*a4*a0*a1**-1*a3**-1	True	False
139	a2*a4*a5**-1*a1*a5*a2**-1	a2*a4*a0*a5**-1*a3**-1	True	False
140	a2*a4*a1*a2**-1	a2*a4*a1*a3**-1*a4	False	False
141	a2*a4*a1*a4*a1*a2**-1	a2*a4*a1*a3**-1*a4	False	False
142	a2*a4*a1*a2*a3**2	a2*a3**-1*a4*a2**2	True	False
143	a2*a3*a4*a2*a4**-1*a2**-1	a2*a4*a1**-1*a2*a3**-1	True	False
144	a2*a3**-1*a4*a1*a2**-1*a3	a2*a3**-2*a4*a2	True	False
145	a2*a4**2*a1**2*a3	a2*a3**-1*a4**2*a2	True	False
146	a2*a4**2*a1*a4**-1*a2**-1	a2*a4**2*a1**-1*a3**-1	True	False
147	a2*a4*a5*a1*a5**-1*a2**-1	a2*a4*a0**-1*a5*a3**-1	True	False
148	a2*a4*a0*a5*a4**-1*a2**-1	a2*a4*a5*a1**-1*a3**-1	True	False
149	a3*a0*a1*a5*a1**-1*a3**-1	a3*a0*a1*a4**-1*a2**-1	True	False
150	a3*a1**2*a4*a1**-1*a3**-1	a3*a1**2*a4**-1*a2**-1	True	False
151	a2*a3*a1*a3*a1**-1*a3**-1	a3*a1*a3*a4**-1*a2**-1	True	False
152	a3*a0*a1*a5*a1**-1*a3**-1	a3*a1*a4**-1*a5*a2**-1	True	False
153	a2*a5*a1*a4*a5**-1*a2**-1	a2*a0**-1*a5*a1*a3**-1	True	False
154	a2*a5*a2*a3*a5**-1*a2**-1	a2*a5*a2*a0**-1*a3**-1	True	False
155	a2*a5*a2*a3*a5**-1*a2**-1	a2*a5*a3*a0**-1*a3**-1	True	False
156	a2*a0*a5*a2**-1	a2*a5**3*a3**-1	False	False
157	a2*a0**2*a5**2*a2**-1	a2*a5**3*a3**-1	False	False
158	a2*a0*a5*a2**-1	a2*a0**-1*a5**2*a3**-1	True	False
159	a2*a0**2*a5**2*a2**-1	a2*a0**-1*a5**2*a3**-1	False	False
160	a2*a0**-1*a4*a0*a1*a2**-1	a2*a0**-1*a5*a3**-1*a4	True	False
161	a3*a0*a5*a3**-1	a3*a0**2*a5**-1*a2**-1	True	False
162	a3*a0**2*a5**2*a3**-1	a3*a0**2*a5**-1*a2**-1	False	False
163	a3*a0*a1*a4*a0**-1*a3**-1	a3*a0*a1*a5**-1*a2**-1	True	False
